date,eq-large,eq-mid,eq-bank,gov,corp,cash,gold,reit,intl
2023-01-02,-0.016000954,-0.005581542,-0.011097394,0.001855942,-0.001783713,7.4122e-05,0.011952072,0.005218192,0.003518352
2023-01-03,-0.001290596,-0.000179841,-0.003079018,0.003506724,-3.6778e-05,0.000323358,-0.00633344,-0.002574299,-0.000736227
2023-01-04,-0.022066359,-0.004998839,-0.004786094,-0.0025371,-0.004342002,4.104e-06,0.006333763,-0.009266016,-0.002694774
2023-01-05,-0.010785385,-0.003673608,-0.00673566,0.004437226,-0.004432306,0.000295089,-0.01499041,-0.005012159,-0.014515346
2023-01-06,-0.004092847,0.011713749,0.02210481,0.001577122,6.1427e-05,0.000286845,0.001482734,0.020570584,0.003553489
2023-01-09,0.007567459,-0.016993164,-0.001733048,0.006921572,0.002316662,0.000118373,0.016223384,0.002894876,-0.004667235
2023-01-10,-0.011936888,0.018496879,-0.016107413,0.001093895,-0.001048401,-7.1032e-05,-0.006388444,0.000674892,0.000719417
2023-01-11,-0.003077048,0.007942366,0.001708358,-0.001940991,-0.004723201,0.000113166,0.009477604,0.002540078,0.023014262
2023-01-12,-0.003816433,-0.004054893,0.00413399,0.005401655,0.001416864,0.000145855,-0.006270346,0.010631078,0.041546924
2023-01-13,0.001910749,0.000427111,0.005490755,-0.000828577,0.00548703,0.000220374,0.001358843,-0.015729644,0.000124968
2023-01-16,0.014275697,0.020392519,0.016594657,-0.001084101,0.000740601,0.000259793,-0.001867216,0.009923783,0.012977285
2023-01-17,0.006110099,0.022288561,0.020402221,0.000699924,0.00301667,-4.6405e-05,-0.01524409,0.003194782,0.013156868
2023-01-18,-0.016602805,-0.018396839,-0.014823179,0.003086355,0.00319605,0.0001091,0.01041128,-0.018825629,-0.021099081
2023-01-19,0.018798904,0.012380135,0.031832607,-0.004247205,-0.001010094,0.000347231,0.014447095,0.006836759,0.008476613
2023-01-20,0.002506213,-0.001942143,-0.009124206,0.006313675,0.008903716,0.000165016,-0.015051434,-0.006876686,-0.009940097
2023-01-23,-0.011329566,-0.011133956,-0.013930558,-0.004667839,-0.005802167,0.000185518,0.000753222,-0.010543941,-0.000567106
2023-01-24,0.002034455,-0.016359492,-0.01014126,-0.004490307,0.001026055,0.00034268,-0.016097947,0.014950349,-0.007600798
2023-01-25,-0.008325674,-0.026079665,-0.01010915,0.005349849,0.006556243,6.84e-05,-0.003023085,-0.012096575,-0.006310835
2023-01-26,0.00801914,0.013877541,0.01812066,-0.000290811,2.876e-05,0.000239182,0.004543772,0.013438858,0.0131574
2023-01-27,0.007869427,-0.007917078,-0.012421104,0.000308115,0.002946933,6.5968e-05,-0.005864413,0.01822628,-0.013647308
2023-01-30,0.000175789,-0.003050479,-0.00873498,-0.007063751,-0.002710866,0.000245389,-0.018665008,0.002424644,0.001517433
